trip_id,pickup_datetime,pickup_location,trip_type,distance_miles,duration_minutes,fare_amount
189,2026-06-14 07:24:21,MediaCityUK,Airport,13.08,58.0,17.2
190,2026-02-03 11:09:05,Trafford Centre,Premium,27.08,104.0,60.18
191,2025-10-05 04:47:33,Stockport,Airport,11.35,38.0,14.38
192,2025-09-28 17:32:43,Piccadilly,Airport,5.69,26.0,14.2
193,2026-06-23 12:10:38,Deansgate,Standard,30.2,147.0,61.66
194,2026-03-26 05:27:11,Stockport,Standard,29.44,67.0,75.46
195,2026-06-14 03:10:17,Stockport,Business,34.34,122.0,79.97
196,2026-01-25 04:56:16,MediaCityUK,Premium,21.73,96.0,55.18
197,2026-04-03 14:33:02,Piccadilly,Business,26.02,99.0,68.57
198,2026-01-13 20:36:07,Piccadilly,Airport,6.13,15.0,14.64
199,2025-08-25 19:33:44,Salford Quays,Airport,6.77,21.0,17.96
200,2026-05-17 03:51:59,Stockport,Premium,14.65,52.0,30.24
201,2026-04-10 13:52:43,Manchester Airport,Business,21.31,91.0,59.61
202,2025-07-23 09:37:00,Deansgate,Premium,16.54,73.0,29.09
203,2026-05-06 07:51:14,Old Trafford,Premium,26.99,68.0,37.92
204,2026-04-12 14:21:29,Stockport,Premium,24.55,115.0,55.06
205,2026-03-11 15:21:08,Manchester Airport,Standard,28.04,68.0,54.76
206,2026-01-24 12:29:04,Stockport,Business,14.4,32.0,27.89
207,2025-07-17 17:59:17,Deansgate,Standard,16.74,49.0,31.86
208,2026-01-21 04:25:49,Salford Quays,Airport,34.66,90.0,76.52
209,2026-02-08 22:19:41,Manchester Airport,Premium,17.21,41.0,38.78
210,2026-02-21 02:23:07,Trafford Centre,Business,30.24,142.0,76.86
211,2026-05-02 17:25:37,Stockport,Business,11.36,30.0,21.18
212,2025-07-12 01:17:02,Deansgate,Premium,23.78,51.0,53.07
213,2025-11-17 10:49:39,Piccadilly,Standard,12.32,61.0,21.58
214,2026-05-03 06:53:02,Manchester Airport,Premium,15.33,65.0,23.82
215,2025-08-04 21:42:07,Old Trafford,Standard,28.42,81.0,55.76
216,2026-01-19 22:07:09,Stockport,Standard,23.51,74.0,60.15
217,2026-06-16 19:24:18,MediaCityUK,Airport,31.31,139.0,80.32
218,2026-04-13 14:58:05,Piccadilly,Standard,1.31,3.0,2.99
219,2025-07-21 01:12:41,Piccadilly,Airport,27.88,63.0,46.72
220,2026-01-01 20:31:00,Manchester Airport,Standard,32.04,106.0,54.03
221,2025-08-15 08:23:32,Piccadilly,Business,5.37,13.0,8.1
222,2026-04-11 06:22:59,Old Trafford,Standard,32.16,121.0,44.38
223,2025-11-28 22:31:50,Stockport,Premium,15.07,44.0,28.4
224,2026-06-07 21:02:55,MediaCityUK,Standard,15.34,57.0,22.77
225,2025-06-30 15:10:56,MediaCityUK,Business,6.88,21.0,17.17
226,2025-11-11 16:00:17,MediaCityUK,Standard,13.5,31.0,30.08
227,2026-05-15 13:05:38,Salford Quays,Business,29.83,134.0,36.07
228,2025-08-28 09:32:28,Stockport,Premium,24.68,68.0,63.84
229,2025-11-04 01:04:24,Manchester Airport,Airport,3.71,17.0,8.67
230,2026-05-06 15:43:59,Piccadilly,Premium,34.05,76.0,50.62
231,2026-04-25 14:22:21,Stockport,Standard,12.4,25.0,33.37
232,2025-10-11 10:20:07,Salford Quays,Business,4.24,20.0,7.32
233,2026-02-28 11:09:24,Deansgate,Standard,7.09,32.0,9.13
234,2026-02-16 02:21:26,MediaCityUK,Standard,25.6,82.0,65.78
235,2026-01-30 12:50:33,Deansgate,Standard,8.95,24.0,23.23
236,2026-01-21 06:20:15,Deansgate,Business,18.25,40.0,31.96
237,2026-04-20 02:13:14,Trafford Centre,Premium,22.36,95.0,57.52
238,2025-11-26 04:41:18,Stockport,Airport,24.27,117.0,38.56
239,2025-09-26 00:57:51,Piccadilly,Standard,16.81,65.0,43.67
240,2026-03-24 06:36:50,Old Trafford,Premium,8.53,41.0,20.38
241,2025-10-09 17:58:38,Stockport,Airport,23.4,96.0,29.22
242,2026-03-23 01:13:05,Stockport,Standard,3.44,17.0,4.98
243,2026-01-20 15:12:06,Salford Quays,Premium,25.31,119.0,34.24
244,2026-03-14 06:57:30,MediaCityUK,Standard,25.89,129.0,69.27
245,2026-03-26 12:03:59,Trafford Centre,Premium,30.85,148.0,46.88
246,2026-03-26 18:06:50,Salford Quays,Airport,34.24,140.0,72.52
247,2026-01-10 06:29:27,Piccadilly,Standard,29.46,110.0,41.05
248,2026-03-03 10:53:51,Deansgate,Premium,2.21,6.0,5.99
249,2026-01-05 20:14:01,MediaCityUK,Premium,23.62,74.0,32.49
250,2026-06-22 13:25:36,Manchester Airport,Airport,12.38,39.0,21.78
251,2025-08-23 12:49:42,Salford Quays,Business,19.31,60.0,36.58
252,2025-07-24 00:48:04,Old Trafford,Premium,30.91,87.0,59.26
253,2025-10-06 07:39:21,Manchester Airport,Standard,23.6,108.0,39.44
254,2025-10-27 21:39:41,Deansgate,Airport,16.48,74.0,21.67
255,2026-03-15 17:12:41,Salford Quays,Standard,21.49,93.0,57.8
256,2025-08-25 18:08:15,Trafford Centre,Standard,26.34,61.0,44.96
257,2026-02-13 07:45:31,Salford Quays,Business,31.36,97.0,57.16
258,2026-06-04 07:39:23,Old Trafford,Business,24.48,66.0,65.22
259,2025-08-10 21:37:17,Deansgate,Business,31.59,111.0,50.85
260,2025-08-25 16:10:17,Stockport,Standard,30.13,108.0,47.16
261,2025-07-10 07:15:29,Deansgate,Airport,14.64,39.0,27.13
262,2026-05-17 14:56:23,Deansgate,Business,12.95,39.0,22.9
263,2025-09-23 00:31:10,Piccadilly,Standard,17.98,40.0,22.09
264,2026-05-12 00:40:22,Piccadilly,Premium,10.48,42.0,29.2
265,2025-08-01 17:22:23,Salford Quays,Premium,9.39,30.0,12.92
266,2026-04-29 07:07:50,Old Trafford,Business,31.4,84.0,81.79
267,2025-07-14 00:53:17,Old Trafford,Airport,4.73,15.0,11.27
268,2026-02-23 09:14:06,Stockport,Standard,29.74,124.0,64.19
269,2025-11-02 02:40:30,Manchester Airport,Standard,20.36,74.0,26.33
270,2026-04-27 18:49:26,Trafford Centre,Premium,9.94,44.0,22.55
271,2025-06-25 18:28:53,Stockport,Premium,25.6,52.0,68.81
272,2025-12-22 19:21:41,Stockport,Standard,27.96,60.0,70.23
273,2025-07-04 08:18:25,Old Trafford,Airport,29.79,129.0,36.49
274,2026-01-11 12:33:41,Salford Quays,Airport,11.16,55.0,14.41
275,2025-10-03 14:44:54,Manchester Airport,Business,2.21,11.0,3.95
276,2026-05-09 09:32:10,Deansgate,Premium,14.87,40.0,32.77
277,2026-05-22 16:52:51,Deansgate,Premium,32.98,145.0,74.7
278,2026-03-30 17:10:20,Deansgate,Airport,33.46,158.0,62.46
279,2026-05-13 05:15:25,MediaCityUK,Premium,6.1,23.0,7.38
280,2025-12-24 20:39:00,Manchester Airport,Premium,33.15,89.0,43.29
281,2025-08-27 20:18:37,Manchester Airport,Premium,18.94,75.0,36.14
282,2025-06-23 22:46:51,Deansgate,Airport,26.72,78.0,49.05
283,2025-07-17 20:00:17,Trafford Centre,Airport,5.23,21.0,11.34
284,2025-11-12 10:39:34,Stockport,Airport,28.53,107.0,36.79
285,2026-06-18 08:38:52,Piccadilly,Business,27.07,83.0,32.96
286,2025-10-04 19:56:26,Deansgate,Business,34.96,126.0,84.22
287,2025-08-19 00:18:37,MediaCityUK,Airport,13.6,48.0,28.14
288,2025-07-03 13:43:32,Deansgate,Business,34.2,149.0,79.23
289,2025-12-14 18:25:45,Deansgate,Airport,12.87,51.0,17.31
290,2025-10-20 07:15:27,Manchester Airport,Business,6.22,15.0,7.75
291,2026-05-29 23:58:52,MediaCityUK,Business,7.22,34.0,11.87
292,2025-08-08 18:59:48,Old Trafford,Standard,30.01,73.0,75.09
293,2026-02-20 07:37:45,Manchester Airport,Premium,31.36,103.0,78.83
294,2025-08-22 04:56:53,Deansgate,Airport,7.84,37.0,19.25
295,2025-11-19 03:18:34,MediaCityUK,Standard,33.2,163.0,50.47
296,2026-06-22 19:07:06,MediaCityUK,Standard,17.43,41.0,45.33
297,2025-10-18 19:02:37,Old Trafford,Premium,31.83,130.0,60.59
298,2025-11-26 13:53:10,Salford Quays,Standard,16.48,80.0,23.6
299,2026-02-22 16:30:55,Stockport,Business,32.59,104.0,67.23
300,2025-10-09 01:12:50,MediaCityUK,Airport,32.65,114.0,66.15
301,2026-04-08 14:27:20,Piccadilly,Premium,30.04,70.0,80.61
302,2026-05-09 07:16:40,Old Trafford,Airport,5.78,12.0,13.01
303,2026-05-07 05:59:42,Deansgate,Standard,4.19,11.0,10.32
304,2026-03-05 15:50:14,Trafford Centre,Business,9.61,39.0,12.01
305,2025-06-25 12:07:17,Deansgate,Standard,25.66,114.0,37.38
306,2026-05-29 04:56:06,Manchester Airport,Standard,6.94,35.0,10.35
307,2025-09-13 09:54:26,Deansgate,Airport,17.78,76.0,25.32
308,2026-02-26 22:02:58,Piccadilly,Standard,27.75,119.0,74.21
309,2026-05-29 09:39:14,Piccadilly,Airport,4.15,15.0,7.45
310,2025-07-15 17:45:43,Salford Quays,Standard,33.71,150.0,66.31
311,2025-10-30 05:09:50,Salford Quays,Airport,9.12,31.0,13.7
312,2025-10-11 13:46:34,Salford Quays,Airport,10.92,24.0,21.53
313,2025-12-17 16:50:29,Manchester Airport,Premium,7.61,17.0,15.55
314,2026-06-22 13:25:39,Old Trafford,Standard,32.08,102.0,86.28
315,2025-12-14 16:25:26,Old Trafford,Business,32.99,154.0,85.34
316,2025-11-17 18:59:03,Old Trafford,Business,20.85,47.0,39.75
317,2025-11-05 04:00:53,Stockport,Premium,17.44,60.0,45.8
318,2026-03-18 05:01:56,Old Trafford,Premium,1.52,8.0,3.51
319,2026-01-04 08:58:28,Manchester Airport,Airport,4.44,15.0,9.02
320,2026-01-02 05:33:33,Manchester Airport,Premium,20.51,91.0,56.45
321,2025-08-11 22:46:32,Old Trafford,Airport,18.7,38.0,24.48
322,2026-03-12 01:48:56,Deansgate,Business,24.76,66.0,44.71
323,2026-03-31 06:03:42,MediaCityUK,Airport,13.72,47.0,34.54
324,2026-06-04 17:33:56,Manchester Airport,Premium,4.31,21.0,10.93
325,2025-09-07 13:51:29,Salford Quays,Business,29.68,116.0,45.07
326,2025-08-23 03:24:33,MediaCityUK,Airport,32.57,131.0,46.76
327,2026-01-01 00:31:22,Old Trafford,Standard,30.11,134.0,83.06
328,2025-12-11 20:03:41,Deansgate,Premium,28.72,124.0,78.59
329,2025-12-29 06:38:11,MediaCityUK,Standard,14.01,57.0,37.63
330,2026-02-21 21:01:19,Piccadilly,Business,13.72,55.0,28.11
331,2026-04-30 11:22:10,Manchester Airport,Business,30.08,108.0,53.24
332,2025-12-27 10:02:47,MediaCityUK,Business,12.0,35.0,27.85
333,2026-03-14 12:26:20,MediaCityUK,Business,26.68,99.0,63.22
334,2025-12-17 05:11:13,MediaCityUK,Business,9.28,22.0,23.4
335,2025-09-12 22:29:05,Trafford Centre,Business,5.32,12.0,11.15
336,2026-02-13 18:24:36,Trafford Centre,Airport,20.61,80.0,37.12
337,2026-04-03 01:48:15,Stockport,Business,3.69,10.0,4.69
338,2025-12-09 23:43:15,Piccadilly,Business,33.93,109.0,81.81
339,2026-01-04 12:01:13,Old Trafford,Standard,23.87,112.0,60.93
340,2025-09-25 21:27:35,Manchester Airport,Airport,24.29,49.0,55.96
341,2025-08-22 18:24:24,Piccadilly,Airport,26.03,112.0,33.79
342,2026-06-17 22:50:57,Old Trafford,Business,16.36,42.0,43.62
343,2026-02-17 16:12:29,MediaCityUK,Airport,21.34,65.0,51.58
344,2026-04-14 00:16:31,Manchester Airport,Standard,18.67,44.0,34.59
345,2025-09-25 11:05:40,Deansgate,Standard,5.38,11.0,13.14
346,2026-01-09 23:42:58,Piccadilly,Airport,31.57,100.0,76.59
347,2026-05-05 05:29:46,Manchester Airport,Airport,29.7,120.0,79.0
348,2026-02-01 14:55:42,Salford Quays,Business,13.65,64.0,37.21
349,2025-08-08 11:38:52,Old Trafford,Standard,7.54,30.0,15.84
350,2025-12-23 17:04:06,Salford Quays,Business,6.45,23.0,12.9
351,2025-11-05 12:29:45,Piccadilly,Standard,33.57,137.0,82.6
352,2025-12-01 07:10:14,Stockport,Airport,19.56,63.0,48.11
353,2025-10-27 15:55:51,Old Trafford,Standard,21.21,58.0,29.33
354,2025-07-18 18:24:00,Piccadilly,Standard,28.11,68.0,57.59
355,2025-11-06 01:12:01,Trafford Centre,Standard,10.33,49.0,28.53
356,2026-01-21 04:55:29,Stockport,Business,20.11,54.0,39.04
357,2026-05-08 14:44:46,MediaCityUK,Business,12.72,26.0,17.3
358,2025-12-04 19:28:06,Trafford Centre,Premium,21.93,46.0,39.88
359,2025-07-10 18:34:22,Salford Quays,Standard,7.22,16.0,15.29
360,2026-04-05 21:26:26,Trafford Centre,Premium,8.47,24.0,11.03
361,2026-06-22 20:07:06,Trafford Centre,Premium,25.53,127.0,54.9
362,2026-05-08 17:26:08,Salford Quays,Business,14.92,41.0,32.92
363,2026-04-01 04:26:06,Manchester Airport,Standard,25.94,100.0,37.13
364,2025-10-27 06:50:05,MediaCityUK,Standard,4.79,16.0,10.15
365,2025-11-11 22:24:29,MediaCityUK,Standard,11.22,49.0,21.32
366,2025-12-29 00:32:39,MediaCityUK,Standard,33.34,129.0,86.27
367,2026-05-27 20:34:39,MediaCityUK,Premium,11.73,25.0,22.88
368,2026-02-26 12:26:53,Stockport,Standard,18.91,76.0,37.8
369,2025-07-14 20:34:27,Manchester Airport,Standard,29.8,67.0,80.08
