trip_id,full_date,day_name,month_name,year,hour_of_day,time_period,pickup_area,pickup_location_type,dropoff_area,dropoff_location_type,trip_category,distance_miles,duration_minutes,fare,tip,total_earnings,estimated_cost,net_profit,earnings_per_mile,earnings_per_hour,profit_per_hour
38575,2026-06-23,Tuesday,June     ,2026,3,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,32.95,139.00,77.71,0.00,77.71,9.23,68.48,2.36,33.54,29.56
7416,2026-06-23,Tuesday,June     ,2026,11,Standard,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,3.86,15.00,9.17,0.00,9.17,1.08,8.09,2.38,36.68,32.36
3844,2026-06-23,Tuesday,June     ,2026,0,Airport,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,32.97,164.00,79.45,0.00,79.45,9.23,70.22,2.41,29.07,25.69
32068,2026-06-23,Tuesday,June     ,2026,9,Standard,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,28.59,137.00,56.26,0.00,56.26,8.01,48.25,1.97,24.64,21.13
23532,2026-06-23,Tuesday,June     ,2026,11,Standard,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,12.88,45.00,33.71,0.00,33.71,3.61,30.10,2.62,44.95,40.14
39310,2026-06-23,Tuesday,June     ,2026,5,Airport,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,34.38,91.00,62.09,0.00,62.09,9.63,52.46,1.81,40.94,34.59
45772,2026-06-23,Tuesday,June     ,2026,1,Premium,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,18.23,79.00,22.74,0.00,22.74,5.10,17.64,1.25,17.27,13.39
8846,2026-06-23,Tuesday,June     ,2026,8,Airport,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,30.69,100.00,56.29,0.00,56.29,8.59,47.70,1.83,33.77,28.62
15736,2026-06-23,Tuesday,June     ,2026,13,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,27.01,82.00,48.01,0.00,48.01,7.56,40.45,1.78,35.13,29.60
34120,2026-06-23,Tuesday,June     ,2026,13,Business,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,6.09,24.00,10.44,0.00,10.44,1.71,8.73,1.71,26.10,21.84
33860,2026-06-23,Tuesday,June     ,2026,10,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,9.30,29.00,17.59,0.00,17.59,2.60,14.99,1.89,36.39,31.01
39560,2026-06-23,Tuesday,June     ,2026,0,Airport,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,34.17,111.00,62.30,0.00,62.30,9.57,52.73,1.82,33.68,28.50
28187,2026-06-23,Tuesday,June     ,2026,4,Premium,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,27.84,88.00,37.70,0.00,37.70,7.80,29.90,1.35,25.70,20.39
24991,2026-06-23,Tuesday,June     ,2026,1,Premium,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,20.05,56.00,49.66,0.00,49.66,5.61,44.05,2.48,53.21,47.19
34463,2026-06-23,Tuesday,June     ,2026,8,Airport,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,34.65,90.00,76.12,0.00,76.12,9.70,66.42,2.20,50.75,44.28
34395,2026-06-23,Tuesday,June     ,2026,7,Business,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,26.24,97.00,39.22,0.00,39.22,7.35,31.87,1.49,24.26,19.72
12226,2026-06-23,Tuesday,June     ,2026,0,Airport,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,10.79,47.00,14.54,0.00,14.54,3.02,11.52,1.35,18.56,14.70
43057,2026-06-23,Tuesday,June     ,2026,5,Airport,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,10.32,44.00,16.25,0.00,16.25,2.89,13.36,1.57,22.16,18.22
37606,2026-06-23,Tuesday,June     ,2026,13,Business,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,10.42,41.00,22.20,0.00,22.20,2.92,19.28,2.13,32.49,28.22
46765,2026-06-23,Tuesday,June     ,2026,2,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,16.77,74.00,21.24,0.00,21.24,4.70,16.54,1.27,17.22,13.41
2585,2026-06-23,Tuesday,June     ,2026,11,Standard,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,19.33,55.00,48.79,0.00,48.79,5.41,43.38,2.52,53.23,47.32
1960,2026-06-23,Tuesday,June     ,2026,9,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,20.01,63.00,24.84,0.00,24.84,5.60,19.24,1.24,23.66,18.32
29860,2026-06-23,Tuesday,June     ,2026,13,Business,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,24.89,91.00,62.08,0.00,62.08,6.97,55.11,2.49,40.93,36.34
48514,2026-06-23,Tuesday,June     ,2026,3,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,6.50,18.00,16.08,0.00,16.08,1.82,14.26,2.47,53.60,47.53
43060,2026-06-23,Tuesday,June     ,2026,1,Premium,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,31.32,78.00,52.70,0.00,52.70,8.77,43.93,1.68,40.54,33.79
22961,2026-06-23,Tuesday,June     ,2026,11,Standard,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,26.16,128.00,41.76,0.00,41.76,7.32,34.44,1.60,19.58,16.14
33645,2026-06-23,Tuesday,June     ,2026,5,Airport,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,17.55,44.00,32.32,0.00,32.32,4.91,27.41,1.84,44.07,37.37
14311,2026-06-23,Tuesday,June     ,2026,16,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,11.72,57.00,29.70,0.00,29.70,3.28,26.42,2.53,31.26,27.81
36936,2026-06-23,Tuesday,June     ,2026,16,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,26.39,102.00,66.83,0.00,66.83,7.39,59.44,2.53,39.31,34.97
47953,2026-06-23,Tuesday,June     ,2026,1,Premium,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,14.21,64.00,34.38,0.00,34.38,3.98,30.40,2.42,32.23,28.50
7369,2026-06-23,Tuesday,June     ,2026,3,Standard,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,30.03,146.00,54.52,0.00,54.52,8.41,46.11,1.82,22.41,18.95
16174,2026-06-23,Tuesday,June     ,2026,15,Business,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,28.73,124.00,56.27,0.00,56.27,8.04,48.23,1.96,27.23,23.33
31615,2026-06-23,Tuesday,June     ,2026,12,Business,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,15.39,72.00,21.44,0.00,21.44,4.31,17.13,1.39,17.87,14.28
30875,2026-06-23,Tuesday,June     ,2026,5,Airport,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,4.33,13.00,10.67,0.00,10.67,1.21,9.46,2.46,49.25,43.65
23278,2026-06-23,Tuesday,June     ,2026,13,Business,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,10.46,29.00,22.40,0.00,22.40,2.93,19.47,2.14,46.34,40.29
22657,2026-06-23,Tuesday,June     ,2026,10,Standard,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,4.84,10.00,8.11,0.00,8.11,1.36,6.75,1.68,48.66,40.53
32543,2026-06-23,Tuesday,June     ,2026,2,Standard,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,9.18,43.00,23.21,0.00,23.21,2.57,20.64,2.53,32.39,28.80
36475,2026-06-23,Tuesday,June     ,2026,12,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,16.77,83.00,23.21,0.00,23.21,4.70,18.51,1.38,16.78,13.38
17595,2026-06-23,Tuesday,June     ,2026,15,Business,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,11.23,56.00,25.30,0.00,25.30,3.14,22.16,2.25,27.11,23.74
24762,2026-06-23,Tuesday,June     ,2026,16,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,21.70,74.00,33.29,0.00,33.29,6.08,27.21,1.53,26.99,22.07
48973,2026-06-23,Tuesday,June     ,2026,0,Airport,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,2.08,5.00,5.16,0.00,5.16,0.58,4.58,2.48,61.92,54.93
47126,2026-06-23,Tuesday,June     ,2026,4,Premium,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,13.46,54.00,34.62,0.00,34.62,3.77,30.85,2.57,38.47,34.28
46948,2026-06-23,Tuesday,June     ,2026,0,Airport,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,13.31,64.00,28.87,0.00,28.87,3.73,25.14,2.17,27.07,23.57
27309,2026-06-23,Tuesday,June     ,2026,15,Business,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,1.86,4.00,2.26,0.00,2.26,0.52,1.74,1.22,33.90,26.09
42166,2026-06-23,Tuesday,June     ,2026,11,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,6.66,29.00,11.05,0.00,11.05,1.86,9.19,1.66,22.86,19.00
24218,2026-06-23,Tuesday,June     ,2026,14,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,1.64,6.00,3.69,0.00,3.69,0.46,3.23,2.25,36.90,32.31
39830,2026-06-23,Tuesday,June     ,2026,2,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,27.44,58.00,49.95,0.00,49.95,7.68,42.27,1.82,51.67,43.72
6433,2026-06-23,Tuesday,June     ,2026,12,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,9.37,43.00,14.99,0.00,14.99,2.62,12.37,1.60,20.92,17.26
1932,2026-06-23,Tuesday,June     ,2026,2,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,32.67,83.00,81.10,0.00,81.10,9.15,71.95,2.48,58.63,52.01
6248,2026-06-23,Tuesday,June     ,2026,9,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,13.50,37.00,19.71,0.00,19.71,3.78,15.93,1.46,31.96,25.83
29826,2026-06-23,Tuesday,June     ,2026,7,Business,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,8.02,22.00,11.21,0.00,11.21,2.25,8.96,1.40,30.57,24.45
1558,2026-06-23,Tuesday,June     ,2026,9,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,16.65,75.00,38.46,0.00,38.46,4.66,33.80,2.31,30.77,27.04
2521,2026-06-23,Tuesday,June     ,2026,7,Business,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,24.05,66.00,38.76,0.00,38.76,6.73,32.03,1.61,35.24,29.11
23251,2026-06-23,Tuesday,June     ,2026,10,Standard,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,9.22,29.00,18.51,0.00,18.51,2.58,15.93,2.01,38.30,32.96
33806,2026-06-23,Tuesday,June     ,2026,6,Business,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,5.20,17.00,13.31,0.00,13.31,1.46,11.85,2.56,46.98,41.84
8750,2026-06-23,Tuesday,June     ,2026,16,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,11.48,27.00,23.75,0.00,23.75,3.21,20.54,2.07,52.78,45.63
3118,2026-06-23,Tuesday,June     ,2026,10,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,30.72,111.00,48.84,0.00,48.84,8.60,40.24,1.59,26.40,21.75
16965,2026-06-23,Tuesday,June     ,2026,10,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,8.16,20.00,13.69,0.00,13.69,2.28,11.41,1.68,41.07,34.22
34454,2026-06-23,Tuesday,June     ,2026,10,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,33.68,101.00,81.34,0.00,81.34,9.43,71.91,2.42,48.32,42.72
5793,2026-06-23,Tuesday,June     ,2026,6,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,24.63,52.00,58.09,0.00,58.09,6.90,51.19,2.36,67.03,59.07
1110,2026-06-23,Tuesday,June     ,2026,9,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,7.52,19.00,19.15,0.00,19.15,2.11,17.04,2.55,60.47,53.82
42344,2026-06-23,Tuesday,June     ,2026,12,Business,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,15.04,74.00,34.08,0.00,34.08,4.21,29.87,2.27,27.63,24.22
8044,2026-06-23,Tuesday,June     ,2026,0,Airport,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,19.40,53.00,35.09,0.00,35.09,5.43,29.66,1.81,39.72,33.58
10178,2026-06-23,Tuesday,June     ,2026,14,Standard,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,13.94,48.00,32.63,0.00,32.63,3.90,28.73,2.34,40.79,35.91
16450,2026-06-23,Tuesday,June     ,2026,11,Standard,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,12.11,36.00,30.48,0.00,30.48,3.39,27.09,2.52,50.80,45.15
28844,2026-06-23,Tuesday,June     ,2026,11,Standard,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,5.44,27.00,14.55,0.00,14.55,1.52,13.03,2.67,32.33,28.95
43552,2026-06-23,Tuesday,June     ,2026,0,Airport,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,27.90,66.00,33.49,0.00,33.49,7.81,25.68,1.20,30.45,23.34
46430,2026-06-23,Tuesday,June     ,2026,12,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,9.63,43.00,24.10,0.00,24.10,2.70,21.40,2.50,33.63,29.87
48117,2026-06-23,Tuesday,June     ,2026,4,Premium,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,6.82,32.00,12.29,0.00,12.29,1.91,10.38,1.80,23.04,19.46
27716,2026-06-23,Tuesday,June     ,2026,0,Airport,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,21.37,71.00,46.33,0.00,46.33,5.98,40.35,2.17,39.15,34.10
46312,2026-06-23,Tuesday,June     ,2026,7,Business,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,9.73,45.00,15.26,0.00,15.26,2.72,12.54,1.57,20.35,16.71
44371,2026-06-23,Tuesday,June     ,2026,3,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,18.03,71.00,31.25,0.00,31.25,5.05,26.20,1.73,26.41,22.14
38327,2026-06-23,Tuesday,June     ,2026,6,Business,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,15.24,35.00,27.13,0.00,27.13,4.27,22.86,1.78,46.51,39.19
10083,2026-06-23,Tuesday,June     ,2026,2,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,20.76,77.00,50.18,0.00,50.18,5.81,44.37,2.42,39.10,34.57
14566,2026-06-23,Tuesday,June     ,2026,14,Standard,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,18.50,86.00,38.35,0.00,38.35,5.18,33.17,2.07,26.76,23.14
9510,2026-06-23,Tuesday,June     ,2026,0,Airport,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,8.95,41.00,12.34,0.00,12.34,2.51,9.83,1.38,18.06,14.39
30989,2026-06-23,Tuesday,June     ,2026,2,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,27.63,68.00,35.28,0.00,35.28,7.74,27.54,1.28,31.13,24.30
15307,2026-06-23,Tuesday,June     ,2026,16,Standard,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,15.02,33.00,34.20,0.00,34.20,4.21,29.99,2.28,62.18,54.54
21095,2026-06-23,Tuesday,June     ,2026,4,Premium,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,13.35,40.00,18.58,0.00,18.58,3.74,14.84,1.39,27.87,22.26
548,2026-06-23,Tuesday,June     ,2026,7,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,13.48,49.00,31.42,0.00,31.42,3.77,27.65,2.33,38.47,33.85
34878,2026-06-23,Tuesday,June     ,2026,16,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,21.83,87.00,30.89,0.00,30.89,6.11,24.78,1.42,21.30,17.09
3843,2026-06-23,Tuesday,June     ,2026,15,Business,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,4.73,20.00,8.19,0.00,8.19,1.32,6.87,1.73,24.57,20.60
49336,2026-06-23,Tuesday,June     ,2026,3,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,13.85,53.00,37.52,0.00,37.52,3.88,33.64,2.71,42.48,38.09
47864,2026-06-23,Tuesday,June     ,2026,3,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,18.59,56.00,24.11,0.00,24.11,5.21,18.90,1.30,25.83,20.26
18407,2026-06-23,Tuesday,June     ,2026,0,Airport,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,21.71,72.00,35.08,0.00,35.08,6.08,29.00,1.62,29.23,24.17
5995,2026-06-23,Tuesday,June     ,2026,3,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,20.50,83.00,56.93,0.00,56.93,5.74,51.19,2.78,41.15,37.00
39118,2026-06-23,Tuesday,June     ,2026,14,Standard,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,15.45,51.00,35.81,0.00,35.81,4.33,31.48,2.32,42.13,37.04
9208,2026-06-23,Tuesday,June     ,2026,4,Premium,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,15.48,58.00,35.56,0.00,35.56,4.33,31.23,2.30,36.79,32.30
7944,2026-06-23,Tuesday,June     ,2026,6,Business,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,27.17,112.00,74.33,0.00,74.33,7.61,66.72,2.74,39.82,35.74
20292,2026-06-23,Tuesday,June     ,2026,16,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,33.79,113.00,46.80,0.00,46.80,9.46,37.34,1.39,24.85,19.83
27903,2026-06-23,Tuesday,June     ,2026,1,Premium,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,15.12,75.00,24.74,0.00,24.74,4.23,20.51,1.64,19.79,16.41
30649,2026-06-23,Tuesday,June     ,2026,11,Standard,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,6.87,23.00,11.05,0.00,11.05,1.92,9.13,1.61,28.83,23.81
48107,2026-06-23,Tuesday,June     ,2026,14,Standard,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,32.20,145.00,65.57,0.00,65.57,9.02,56.55,2.04,27.13,23.40
39178,2026-06-23,Tuesday,June     ,2026,16,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,7.70,23.00,20.44,0.00,20.44,2.16,18.28,2.65,53.32,47.70
42111,2026-06-23,Tuesday,June     ,2026,7,Business,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,17.45,84.00,23.18,0.00,23.18,4.89,18.29,1.33,16.56,13.07
40924,2026-06-23,Tuesday,June     ,2026,0,Airport,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,13.59,51.00,23.44,0.00,23.44,3.81,19.63,1.72,27.58,23.10
14357,2026-06-23,Tuesday,June     ,2026,11,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,17.42,37.00,47.39,0.00,47.39,4.88,42.51,2.72,76.85,68.94
29381,2026-06-23,Tuesday,June     ,2026,11,Standard,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,6.38,31.00,13.57,0.00,13.57,1.79,11.78,2.13,26.26,22.81
36400,2026-06-23,Tuesday,June     ,2026,5,Airport,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,8.88,29.00,12.80,0.00,12.80,2.49,10.31,1.44,26.48,21.34
28785,2026-06-23,Tuesday,June     ,2026,2,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,22.26,64.00,36.26,0.00,36.26,6.23,30.03,1.63,33.99,28.15
1434,2026-06-23,Tuesday,June     ,2026,16,Standard,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,33.33,153.00,47.84,0.00,47.84,9.33,38.51,1.44,18.76,15.10
1832,2026-06-22,Monday,June     ,2026,7,Business,Manchester Airport,Airport,Manchester Airport,Airport,Airport Trip,6.90,16.00,9.59,0.00,9.59,1.93,7.66,1.39,35.96,28.72
36167,2026-06-22,Monday,June     ,2026,4,Premium,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,33.52,102.00,41.83,0.00,41.83,9.39,32.44,1.25,24.61,19.08
44912,2026-06-22,Monday,June     ,2026,1,Premium,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,29.86,126.00,67.58,0.00,67.58,8.36,59.22,2.26,32.18,28.20
24077,2026-06-22,Monday,June     ,2026,16,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,33.88,79.00,85.26,0.00,85.26,9.49,75.77,2.52,64.75,57.55
14948,2026-06-22,Monday,June     ,2026,8,Airport,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,18.67,76.00,51.65,0.00,51.65,5.23,46.42,2.77,40.78,36.65
46368,2026-06-22,Monday,June     ,2026,20,Premium,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,22.17,56.00,27.47,0.00,27.47,6.21,21.26,1.24,29.43,22.78
35423,2026-06-22,Monday,June     ,2026,2,Standard,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,7.49,33.00,11.05,0.00,11.05,2.10,8.95,1.48,20.09,16.28
27306,2026-06-22,Monday,June     ,2026,6,Business,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,19.03,76.00,39.18,0.00,39.18,5.33,33.85,2.06,30.93,26.72
32945,2026-06-22,Monday,June     ,2026,1,Premium,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,4.15,18.00,11.20,0.00,11.20,1.16,10.04,2.70,37.33,33.46
28815,2026-06-22,Monday,June     ,2026,11,Standard,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,13.54,41.00,20.49,0.00,20.49,3.79,16.70,1.51,29.99,24.44
22046,2026-06-22,Monday,June     ,2026,13,Business,Old Trafford,Suburban,Old Trafford,Suburban,Non-Airport Trip,7.90,23.00,13.96,0.00,13.96,2.21,11.75,1.77,36.42,30.65
23774,2026-06-22,Monday,June     ,2026,23,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,17.16,36.00,24.98,0.00,24.98,4.80,20.18,1.46,41.63,33.63
1825,2026-06-22,Monday,June     ,2026,17,Business,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,26.08,99.00,47.91,0.00,47.91,7.30,40.61,1.84,29.04,24.61
15828,2026-06-22,Monday,June     ,2026,20,Premium,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,33.15,93.00,54.33,0.00,54.33,9.28,45.05,1.64,35.05,29.06
19527,2026-06-22,Monday,June     ,2026,22,Airport,Deansgate,City Centre,Deansgate,City Centre,Non-Airport Trip,15.18,64.00,36.13,0.00,36.13,4.25,31.88,2.38,33.87,29.89
26861,2026-06-22,Monday,June     ,2026,18,Business,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,12.97,28.00,19.60,0.00,19.60,3.63,15.97,1.51,42.00,34.22
42441,2026-06-22,Monday,June     ,2026,23,Standard,MediaCityUK,City Centre,MediaCityUK,City Centre,Non-Airport Trip,24.00,117.00,30.66,0.00,30.66,6.72,23.94,1.28,15.72,12.28
690,2026-06-22,Monday,June     ,2026,18,Business,Trafford Centre,Suburban,Trafford Centre,Suburban,Non-Airport Trip,9.15,24.00,21.83,0.00,21.83,2.56,19.27,2.39,54.58,48.17
26943,2026-06-22,Monday,June     ,2026,15,Business,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,19.89,74.00,29.11,0.00,29.11,5.57,23.54,1.46,23.60,19.09
14207,2026-06-22,Monday,June     ,2026,9,Standard,Salford Quays,City Centre,Salford Quays,City Centre,Non-Airport Trip,13.77,67.00,20.23,0.00,20.23,3.86,16.37,1.47,18.12,14.66
16225,2026-06-22,Monday,June     ,2026,18,Business,Stockport,Suburban,Stockport,Suburban,Non-Airport Trip,1.36,6.00,3.34,0.00,3.34,0.38,2.96,2.46,33.40,29.59
42801,2026-06-22,Monday,June     ,2026,5,Airport,Piccadilly,City Centre,Piccadilly,City Centre,Non-Airport Trip,12.73,63.00,21.80,0.00,21.80,3.56,18.24,1.71,20.76,17.37
